Audit Rights,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,MA shall keep accurate records of the sales of the Technology and Maintenance  including Client Registration Cards and shall make these records available for review by a representative of Company within ten (10) business days following the end of each month. (Page 4),
Audit Rights,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,During the Term  and for a period of twelve (12) months thereafter  Rogers (and its representatives) shall have the right  upon reasonable prior written notice to Licensor  and during regular business hours  to inspect and/or audit Licensor’s books and records to confirm compliance with Licensor’s obligations under this Section. (Page 8),
Audit Rights,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Each of the Parties may  at its own expense  audit the other Party’s compliance with this Agreement  including but not limited to  auditing the other Party’s representations and warranties. (Page 7),
Audit Rights,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,"Licensee shall make such books and records  and appropriate personnel  available during normal business hours for audit by Licensor or its authorized representative; provided that Licensor shall:   (a) provide Licensee with reasonable prior notice of any audit;   (b) undertake an audit no more than once per calendar year  unless a prior audit has disclosed a balance due; and   (c) conduct or cause to be conducted such audit in a manner designed to minimize disruption of Licensee's normal business operations. (Page 8)

Licensor will pay the cost of such audits unless an audit reveals a discrepancy in payment or reporting of five percent (5%) or more  in which case the Licensee shall reimburse the Licensor for the reasonable cost of the audit. (Page 8)",
Audit Rights,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,Until one (1) year after the expiration of the Profit Participation of each Project  the books and records will be available for inspection by a certified accounting firm or CPA once per year upon reasonable advance notice. (Page 6),
Audit Rights,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Either party  at its sole expense  upon at least          thirty (30) days written notice (and not more than once in respect of          any accounting period) will have the right to inspect the other party's          books regarding the obligations hereunder for a period of two (2) years          from the date on which any statement is rendered. (Page 4),
Audit Rights,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,"Lender understands that all books  records  and documents of MusclePharm relating to it have been and remain available for inspection by him or his business and financial advisors upon reasonable notice. (Page 11)

The AS Parties shall have the right  upon at least five (5) days written notice and no more than once each Contract Year of the Term to inspect MusclePharm’s books and records and all other documents and material in the possession of or under the control of MusclePharm with respect to the Licensed Products at the place or places where such records are normally retained by MusclePharm (Page 15)

In the event a shortfall in the amount of five percent (5%) or more is discovered  MusclePharm shall reimburse the AS Parties for the cost of the audit including any reasonable attorney’s fees incurred in connection therewith. (Page 15)

MusclePharm shall at all reasonable times during the Term (but no more than once during each Contract Year of the Term)  and upon reasonable notice  permit the AS Parties to send their authorized representatives to inspect the facilities of MusclePharm or its agents in order to confirm that the production of the Licensed Products hereunder is in compliance with the quality standards set out herein and  at MusclePharm’s expense  randomly test the formulas of the Licensed Products for quality control purposes  although the AS Parties will have no obligation to do so. (Page 17)",
Audit Rights,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,"Not more than once per calendar quarter  each Party or its independent auditor (who shall be a certified public accountant) shall have the right  on not less than fifteen (15) calendar days prior notice and not during the first twenty (20) days after the close of any fiscal quarter of the other Parties  or within sixty (60) day of the close of such Parties’ respective fiscal years  to audit the books of account and records of any and all such Parties. Such audit shall be conducted at the premises where the audited Party maintains consolidated books of account; provided however  that the auditing Party may conduct all or any part of such audit at any of the audited Party’s premises where any relevant books of account and/or records are located (Page 16)

During such audits  the auditing Party shall have the right to take extracts and/or make copies of the audited Party’s records as it deems necessary (Page 16)

Such audits shall be at the auditing Party’s cost  except that  subject to Section 5.5  if an audit by an independent accounting firm establishes a deficiency of more than three percent (3%) between the amount shown to be due to the auditing Party and the amount actually paid for the period being audited  all actual and reasonable costs and expenses incurred by the auditing Party in connection with such audit shall be paid by the audited Party  along with the amount of any deficiency  within five (5) business days. (Page 16)

The exercise by any Party in whole or in part  at any time of the right to inspect and/or audit records and accounts or of any other right herein granted  or the acceptance by such Party of any statement or statements or the receipt and/or deposit by such Party  of any payment tendered by or on behalf of an audited Party shall be without prejudice to any rights or remedies of the accepting Party and such acceptance  receipt and/or deposit shall not preclude or prevent such accepting Party from thereafter disputing the accuracy of any such statement or payment. (Page 17)

Each Party shall cause any Subsidiary or other Affiliate (including  without limitation  a Subsidiary or other Affiliate of the Online Group or Skype Group  as applicable) to grant to the other Party the audit rights granted hereunder with respect to such other Party. (Page 17)",
Audit Rights,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Each Party shall permit an independent certified public accounting firm selected by the auditing Party and reasonably acceptable to the non-auditing Party  that has agreed to be bound by a confidentiality agreement reasonably acceptable to the Parties  to have access  during normal business hours and upon reasonable prior notice (not more often than once in any calendar year)  to those books and records maintained by the non-auditing Party necessary for the auditing Party to verify the accuracy of the non-auditing Party’s calculations under this Section 6 and/or cost of Product(s) for any period ending not more than two (2) years prior to the date of such request  subject to any limitations in scope necessary to comply with Applicable Law  Third Party confidentiality restrictions  or maintain legal privilege  including but not limited to Third Party pricing information. (Page 9),
Audit Rights,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,"At the request of ExxonMobil  FCE will permit  at reasonable intervals and during regular business hours  during the Term of this Agreement and at least three (3) years thereafter  but no more than once per fiscal year  an independent certified public accounting firm of nationally recognized standing selected by ExxonMobil (and approved by FCE  which approval will not be unreasonably withheld) to inspect  during regular business hours  such books  records  and accounts and any part of the applicable operations and facilities of FCE relevant to this Agreement  and to have access to FCE’s knowledgeable personnel  as may be necessary to determine the completeness and accuracy of any accounting and payments required to be made under this Agreement and compliance with other terms of this Agreement  subject to the following: 

(a) ExxonMobil and its employees or other representatives will have the right to reproduce for its internal records any of the documents kept by FCE in accordance with Paragraph 18.01 (Recordkeeping)  such reproduced documents shall be subject to the confidentiality and use provisions contained in Article 4; and 

(b) all expenses of each such audit  including any pre-approved reasonable expenses incurred by FCE for such audit  will be for the account of ExxonMobil. (Page 22)

FCE will cause any subcontractors to preserve documentation and allow ExxonMobil to audit such books  records  and accounts of subcontractors by way of auditing FCE. (Page 22)",
